porB,tbpB,ST
605,166,894
606,16,895
608,26,896
609,29,897
610,242,898
4,243,899
611,21,900
250,111,901
618,248,902
95,18,903
624,74,904
623,219,905
617,249,906
616,63,907
201,244,908
627,246,909
90,74,910
625,32,911
318,74,912
619,27,913
614,247,914
622,245,915
201,250,916
626,169,917
621,6,918
206,39,919
620,4,920
356,25,921
613,3,922
612,3,923
615,251,924
628,110,925
90,252,927
39,226,928
607,21,929
209,16,930
631,4,931
206,255,932
131,256,933
632,21,934
634,21,935
635,21,936
53,259,937
636,260,938
633,258,939
637,112,940
646,4,941
638,261,942
640,29,943
641,18,944
642,262,945
634,33,946
644,6,947
645,180,948
483,27,949
266,174,950
647,263,951
648,4,952
649,16,953
650,16,954
651,24,955
301,264,956
652,16,957
653,265,958
415,21,959
416,29,960
654,27,961
655,27,962
656,24,963
30,4,964
658,266,965
64,76,966
657,35,967
567,33,968
59,35,969
166,118,970
659,33,971
91,4,972
660,4,973
661,33,974
645,26,975
50,27,976
121,2,977
430,32,978
431,27,979
260,27,980
4,26,981
209,29,982
61,3,983
90,118,984
536,17,985
537,16,986
2,29,987
55,35,988
96,171,989
381,63,990
53,29,991
53,171,992
301,35,993
50,6,994
28,29,995
61,189,996
662,4,997
596,39,998
663,267,999
664,268,1000
90,269,1001
665,4,1002
666,32,1003
28,257,1004
630,254,1005
667,4,1006
470,32,1007
668,27,1008
669,4,1009
90,175,1010
206,271,1011
670,27,1013
672,25,1014
673,25,1015
39,111,1016
674,5,1017
676,137,1018
35,272,1019
675,27,1020
677,4,1021
678,26,1022
184,156,1023
679,21,1024
680,171,1025
671,29,1026
490,33,1027
524,4,1028
639,63,1029
681,50,1030
567,274,1031
30,76,1032
121,227,1033
430,33,1034
59,98,1035
536,24,1036
537,27,1037
61,4,1038
177,275,1039
50,25,1040
4,131,1041
147,60,1042
685,25,1043
398,21,1044
686,276,1045
687,111,1046
688,21,1047
689,21,1048
91,277,1049
182,278,1050
389,111,1051
609,4,1052
182,33,1053
132,74,1054
581,4,1055
609,186,1056
690,33,1057
691,18,1058
692,5,1059
693,27,1060
694,171,1061
4,280,1062
474,281,1063
477,270,1064
682,180,1065
301,27,1066
695,283,1067
696,284,1068
147,285,1069
581,286,1070
697,287,1071
698,6,1072
699,111,1073
90,288,1074
700,4,1075
141,285,1076
581,289,1077
701,21,1078
702,4,1079
669,21,1080
206,104,1081
201,4,1082
206,74,1083
581,74,1084
389,2,1085
581,21,1086
44,180,1088
703,4,1089
705,25,1090
706,21,1091
18,21,1092
708,187,1093
709,137,1094
710,10,1095
711,16,1096
712,242,1097
713,4,1098
714,21,1099
697,295,1100
30,28,1101
2,118,1102
195,4,1103
64,16,1104
39,4,1105
693,4,1106
381,58,1107
2,35,1108
18,25,1109
59,27,1110
3,280,1111
274,27,1112
707,27,1113
645,5,1114
28,270,1115
334,33,1116
674,16,1117
35,16,1118
262,267,1119
704,118,1120
683,4,1121
230,21,1122
753,307,1123
750,5,1124
754,18,1125
755,4,1126
756,25,1127
757,118,1128
121,308,1129
758,4,1130
759,291,1131
760,4,1132
761,35,1133
762,187,1134
715,88,1135
716,29,1136
717,292,1137
718,293,1138
4,294,1139
719,33,1140
720,35,1141
721,63,1142
722,3,1143
723,282,1144
724,25,1145
725,60,1146
726,33,1147
727,4,1148
728,33,1149
737,25,1150
228,298,1151
738,118,1152
739,3,1153
740,29,1154
741,299,1155
302,300,1156
63,301,1157
742,25,1158
743,302,1159
733,296,1160
744,241,1161
745,273,1162
746,303,1163
375,304,1164
747,305,1165
748,16,1166
749,4,1167
729,21,1168
730,26,1169
731,4,1170
732,295,1171
734,27,1172
735,5,1173
736,78,1174
266,297,1175
751,10,1176
752,35,1177
763,4,1178
764,103,1179
765,92,1180
766,29,1181
767,26,1182
124,272,1183
260,21,1184
768,29,1185
769,33,1186
398,121,1187
2,309,1188
152,310,1189
768,311,1190
684,27,1191
177,306,1192
737,5,1193
746,3,1194
702,29,1195
2,303,1196
771,27,1198
772,16,1199
773,16,1200
774,4,1201
775,27,1202
776,21,1203
266,3,1204
777,270,1205
778,32,1206
779,29,1207
780,16,1208
431,35,1209
781,88,1210
2,312,1211
2,313,1212
782,25,1213
147,197,1214
783,33,1215
784,272,1216
785,137,1217
90,314,1218
786,33,1219
787,315,1220
788,29,1221
379,316,1222
90,103,1223
158,144,1224
384,21,1225
794,27,1226
798,318,1227
792,16,1228
795,319,1229
793,27,1230
791,16,1231
23,5,1232
796,317,1233
797,63,1234
789,16,1235
790,16,1236
799,21,1237
90,320,1238
158,94,1239
383,321,1241
3,321,1242
802,4,1244
150,322,1245
121,74,1246
182,74,1247
803,33,1248
804,4,1249
805,4,1250
806,305,1251
807,10,1252
808,10,1253
123,323,1254
182,18,1255
256,18,1256
809,18,1257
810,135,1258
811,4,1259
812,324,1260
59,25,1261
315,137,1262
813,27,1263
814,24,1264
815,21,1265
816,325,1266
197,27,1267
817,4,1268
818,114,1269
819,326,1270
820,282,1271
821,21,1272
822,327,1273
90,10,1274
147,18,1275
95,265,1276
697,21,1277
123,15,1278
823,27,1279
824,171,1280
825,5,1281
826,2,1282
827,4,1283
778,26,1284
147,294,1285
828,21,1286
829,328,1287
543,29,1288
830,21,1289
4,103,1290
831,263,1291
832,98,1292
833,29,1293
834,29,1294
123,329,1295
835,27,1296
836,330,1297
90,295,1298
743,331,1299
96,332,1300
144,333,1301
839,334,1302
697,23,1303
840,4,1304
841,4,1305
371,24,1306
842,33,1307
843,21,1308
844,33,1309
845,16,1310
53,58,1311
846,24,1312
847,29,1313
848,33,1314
849,24,1315
850,26,1316
851,272,1317
90,25,1318
852,19,1319
853,4,1320
854,26,1321
227,335,1322
855,204,1323
715,16,1324
856,204,1325
857,27,1326
858,16,1327
859,26,1328
348,35,1329
860,35,1330
861,29,1331
546,302,1332
862,32,1333
863,26,1334
720,29,1335
212,336,1336
864,33,1337
865,24,1339
866,4,1340
521,16,1341
223,4,1342
852,4,1343
4,32,1344
867,294,1345
357,242,1346
90,337,1347
868,338,1348
725,4,1349
869,25,1350
262,52,1351
301,4,1352
19,52,1353
870,339,1354
871,4,1355
251,340,1356
105,35,1357
121,341,1358
35,24,1359
872,4,1360
163,110,1361
873,33,1362
874,21,1363
875,4,1364
876,4,1365
877,4,1366
878,4,1367
879,4,1368
674,88,1369
501,342,1370
880,137,1371
881,343,1372
882,29,1373
316,5,1374
883,29,1375
884,26,1376
885,29,1377
407,344,1378
886,345,1379
887,24,1380
888,35,1381
889,4,1382
890,16,1383
891,33,1384
892,346,1385
489,21,1386
893,5,1387
894,5,1388
895,16,1389
896,16,1390
897,33,1391
632,10,1392
543,75,1393
90,347,1394
313,21,1395
898,21,1396
251,24,1397
90,272,1398
899,4,1399
900,321,1400
901,4,1401
902,21,1402
905,4,1403
906,29,1404
543,110,1405
907,27,1406
908,110,1407
909,26,1408
910,4,1409
833,4,1410
911,350,1411
4,10,1412
910,10,1413
566,4,1414
904,349,1415
806,349,1416
516,348,1417
903,349,1418
912,33,1419
913,276,1420
914,351,1421
915,21,1422
916,313,1423
917,10,1424
918,354,1425
4,352,1426
919,189,1427
920,33,1428
921,4,1429
35,21,1430
922,355,1431
90,91,1432
184,4,1433
90,356,1434
923,4,1435
925,4,1436
250,122,1437
455,357,1438
924,32,1439
105,4,1440
184,361,1441
926,35,1442
927,29,1443
928,4,1444
929,364,1445
185,5,1446
53,16,1447
930,5,1448
101,21,1449
4,218,1450
931,6,1451
90,192,1452
184,70,1453
205,126,1454
932,29,1455
933,32,1456
420,365,1457
90,60,1458
182,366,1459
505,367,1460
161,294,1461
908,368,1462
934,302,1463
935,27,1464
936,4,1465
443,21,1466
158,358,1467
937,4,1468
938,4,1469
940,49,1470
941,360,1471
943,363,1472
942,32,1473
943,32,1474
939,4,1475
945,32,1476
161,98,1477
14,24,1478
147,91,1479
946,134,1480
266,369,1481
947,345,1482
948,118,1483
949,295,1484
171,27,1485
950,35,1486
184,370,1487
350,371,1488
101,372,1489
953,373,1490
4,374,1491
851,4,1492
952,107,1493
951,44,1494
954,33,1495
955,375,1496
4,376,1497
161,29,1498
956,104,1499
960,134,1500
961,383,1501
962,372,1502
90,384,1503
963,26,1504
964,191,1505
965,29,1506
277,385,1507
966,4,1508
967,4,1509
969,387,1510
968,27,1511
90,386,1512
971,110,1513
972,24,1514
973,26,1515
234,395,1516
987,25,1517
979,390,1518
234,396,1519
234,401,1520
234,402,1521
90,391,1522
463,118,1523
983,189,1524
23,224,1525
980,224,1526
978,392,1527
978,393,1528
985,174,1529
993,27,1530
974,27,1531
991,399,1532
929,32,1533
929,399,1534
37,388,1535
988,25,1536
989,394,1537
992,400,1538
266,397,1539
266,398,1540
986,25,1541
976,66,1542
984,189,1543
975,27,1544
990,389,1545
977,32,1546
981,189,1547
982,189,1548
970,21,1549
53,35,1550
999,27,1551
1000,294,1552
1001,403,1553
90,404,1554
261,132,1555
1002,405,1556
1003,27,1557
1004,29,1558
1005,4,1559
1009,122,1560
1010,29,1561
1011,27,1562
1012,380,1563
1016,380,1564
1017,78,1565
1018,32,1566
1019,382,1567
1018,29,1568
1020,29,1569
7,382,1570
1021,16,1571
1022,6,1572
1023,16,1573
1039,316,1574
1040,29,1575
1041,4,1576
1042,4,1577
1043,383,1578
214,35,1579
948,291,1580
19,267,1581
997,137,1582
103,23,1583
1049,66,1584
1044,66,1585
1050,137,1586
124,415,1587
1047,21,1588
1048,4,1589
4,416,1590
101,414,1591
1045,112,1592
234,412,1593
90,412,1594
90,413,1595
1046,4,1596
1051,4,1597
185,406,1598
289,407,1599
1052,27,1600
1027,29,1601
1028,16,1602
1029,29,1603
1031,27,1604
1032,16,1605
1033,27,1606
206,411,1607
962,386,1608
1035,25,1609
1036,16,1610
1037,137,1611
543,137,1612
1038,23,1613
1053,33,1614
1054,49,1615
1055,4,1616
90,417,1617
1056,4,1618
1057,21,1619
609,6,1620
1058,107,1621
1059,21,1622
918,4,1623
1060,119,1624
957,16,1625
59,17,1626
35,27,1627
1061,32,1628
1062,27,1629
1063,16,1630
90,418,1631
227,378,1632
1068,4,1633
4,35,1634
997,419,1635
1069,27,1636
1070,420,1637
289,420,1638
296,423,1639
90,425,1640
226,426,1641
124,60,1642
1071,29,1643
1072,16,1644
1077,29,1645
1078,16,1646
1079,428,1647
23,380,1648
1007,4,1649
1008,5,1650
1026,408,1651
1030,409,1652
302,410,1653
7,78,1654
1025,27,1655
1081,430,1656
23,379,1657
185,420,1658
1080,16,1659
1081,293,1660
302,46,1661
867,421,1662
867,422,1663
7,424,1664
1082,137,1665
266,321,1666
1083,27,1667
1084,27,1668
1085,16,1669
1086,29,1670
7,436,1671
59,18,1672
147,35,1673
59,432,1674
18,437,1675
315,119,1676
1087,10,1677
1088,26,1678
1090,27,1679
1030,29,1680
227,381,1681
1091,58,1682
1092,15,1683
1092,16,1684
1093,438,1685
90,330,1686
1095,28,1687
55,280,1688
1094,32,1689
1096,29,1690
90,137,1691
1097,29,1692
1095,27,1693
1046,112,1694
1098,26,1695
2,4,1696
558,431,1697
959,16,1698
144,440,1699
1099,50,1700
1089,4,1701
296,170,1702
581,156,1703
1100,29,1704
1101,4,1705
1042,60,1706
147,439,1707
28,434,1708
375,432,1709
59,33,1710
1103,4,1711
375,433,1712
22,4,1713
28,88,1714
2,435,1715
1104,334,1716
1105,27,1717
832,441,1718
489,33,1719
700,75,1720
333,4,1721
1107,118,1722
315,4,1723
1106,4,1724
1108,21,1725
1109,135,1726
1110,27,1727
1111,442,1728
1112,137,1729
161,272,1730
4,186,1731
90,443,1732
1113,186,1733
1114,444,1734
1115,156,1735
581,10,1736
1050,98,1737
1116,445,1738
4,137,1739
161,21,1740
206,367,1741
90,156,1742
130,33,1743
147,446,1744
994,4,1745
1076,32,1746
1117,21,1747
1118,447,1748
580,137,1749
866,156,1750
90,75,1751
1119,193,1752
1121,186,1753
1123,186,1754
1124,119,1755
1120,448,1756
1122,449,1757
1125,110,1758
1126,33,1759
30,27,1760
1127,4,1761
1128,10,1762
1129,10,1763
1130,33,1764
1131,21,1765
1132,33,1766
1133,4,1767
1135,446,1768
1136,107,1769
1138,186,1770
505,137,1771
1134,450,1772
1137,451,1773
1139,10,1774
1140,234,1775
1141,107,1776
315,107,1777
260,234,1778
1142,25,1779
1143,39,1780
589,171,1781
1144,70,1782
206,110,1783
4,452,1784
4,453,1785
1123,10,1786
1145,234,1787
580,21,1788
609,110,1789
543,4,1790
543,186,1791
485,25,1792
232,417,1793
232,29,1794
1116,454,1795
101,25,1796
147,137,1797
1146,455,1798
1147,27,1799
90,5,1800
1148,21,1801
1149,29,1802
161,108,1803
1150,456,1804
161,156,1805
1151,53,1806
1152,39,1807
1153,29,1808
1154,461,1809
252,21,1810
1171,29,1811
